Cloth Code,Item Name,Type,Material,Brand,Carbon Emissions (kg CO2e),Water Usage (liters),Energy Consumption (kWh),Certifications,Recyclability,Biodegradability,End-of-Life Options,Sustainability Points
CLOTH-2089,Jacket,Dress,Denim,Brand A,11.9,14680,122,[],True,False,True,30
CLOTH-9434,Pants,Jacket,Cotton,Brand C,14.51,3422,95,"['RWS', 'OEKO-TEX', 'Fair Trade']",True,True,False,52
CLOTH-5341,Jacket,Sweater,Silk,Brand D,16.57,14826,146,"['Fair Trade', 'RWS', 'OEKO-TEX', 'GOTS']",True,True,False,20
CLOTH-1501,Jacket,Shirt,Cotton,Brand D,15.35,9692,119,"['RWS', 'OEKO-TEX', 'GOTS', 'Fair Trade']",True,False,True,24
CLOTH-2874,Shirt,Shirt,Wool,Brand B,7.75,12683,139,"['GOTS', 'RWS']",False,True,True,47
CLOTH-4046,Sweater,Pants,Cotton,Brand E,4.19,11385,135,"['Fair Trade', 'OEKO-TEX']",False,True,False,61
CLOTH-6345,Pants,Sweater,Wool,Brand D,18.76,13156,132,[],True,True,False,16
CLOTH-2314,Dress,Pants,Wool,Brand A,5.6,9349,36,"['GOTS', 'RWS']",True,False,True,60
CLOTH-1655,Sweater,Sweater,Denim,Brand C,14.31,2592,182,"['Fair Trade', 'GOTS', 'RWS']",False,False,True,56
CLOTH-9072,Jacket,Jacket,Denim,Brand A,6.95,13176,42,['RWS'],True,False,True,54
CLOTH-2514,Dress,Shirt,Wool,Brand C,19.37,9909,85,"['Fair Trade', 'GOTS']",True,False,False,24
CLOTH-8647,Pants,Pants,Denim,Brand C,11.98,4392,197,"['Fair Trade', 'RWS', 'OEKO-TEX', 'GOTS']",True,True,True,51
CLOTH-7436,Sweater,Jacket,Wool,Brand D,9.43,7069,165,['OEKO-TEX'],True,False,False,50
CLOTH-3513,Jacket,Shirt,Silk,Brand E,7.17,12787,143,"['RWS', 'Fair Trade', 'GOTS']",True,True,True,50
CLOTH-9043,Dress,Shirt,Cotton,Brand B,3.0,1039,189,"['OEKO-TEX', 'Fair Trade', 'GOTS']",True,True,False,89
CLOTH-3609,Pants,Pants,Cotton,Brand C,5.24,1631,138,[],False,True,True,70
CLOTH-8521,Jacket,Sweater,Denim,Brand B,7.27,4328,89,"['Fair Trade', 'OEKO-TEX']",True,True,False,66
CLOTH-2165,Dress,Sweater,Cotton,Brand C,14.45,11385,179,"['GOTS', 'RWS']",False,False,True,30
CLOTH-8548,Jacket,Sweater,Wool,Brand A,13.9,8961,173,"['Fair Trade', 'GOTS', 'OEKO-TEX']",True,False,True,38
CLOTH-1734,Dress,Jacket,Cotton,Brand D,13.16,4539,41,[],True,True,False,54
CLOTH-1009,Jacket,Jacket,Cotton,Brand D,16.17,6679,37,"['GOTS', 'Fair Trade']",True,False,False,39
CLOTH-8492,Jacket,Jacket,Cotton,Brand A,16.88,10211,168,['GOTS'],True,True,True,18
CLOTH-8804,Pants,Sweater,Silk,Brand D,17.85,6571,169,"['OEKO-TEX', 'RWS']",False,False,True,30
CLOTH-1118,Sweater,Jacket,Polyester,Brand D,8.65,10808,191,"['RWS', 'GOTS', 'Fair Trade', 'OEKO-TEX']",True,True,False,50
CLOTH-3199,Pants,Jacket,Cotton,Brand D,7.43,14075,25,"['Fair Trade', 'RWS', 'GOTS']",True,False,False,55
CLOTH-5612,Jacket,Shirt,Cotton,Brand D,13.01,2126,81,['GOTS'],True,True,True,61
CLOTH-5432,Jacket,Shirt,Wool,Brand C,15.83,13233,45,['GOTS'],True,False,False,23
CLOTH-9227,Pants,Shirt,Polyester,Brand B,13.85,10353,161,"['RWS', 'OEKO-TEX', 'Fair Trade']",True,True,True,35
CLOTH-5891,Jacket,Sweater,Wool,Brand A,16.51,9239,143,['GOTS'],False,True,False,20
CLOTH-6515,Shirt,Shirt,Denim,Brand A,15.17,7093,23,"['OEKO-TEX', 'RWS']",True,False,False,29
CLOTH-3028,Pants,Pants,Silk,Brand E,4.87,1164,80,"['GOTS', 'OEKO-TEX']",True,True,False,91
CLOTH-2645,Sweater,Dress,Polyester,Brand C,17.64,11078,190,"['Fair Trade', 'RWS', 'GOTS']",False,True,True,18
CLOTH-9253,Dress,Jacket,Cotton,Brand A,19.14,11231,114,[],False,False,True,13
